team,short_name,color,alt_color,logo_url,ext,logo_file,download_ok,bytes
Aris Thessaloniki,ARI,#FBD400,#000000,https://media-cdn.cortextech.io/77e0fd97-1489-4e3c-8e70-ca39075460c0.png,png,images/logos/ec/aristhessaloniki.png,TRUE,65665
Bahcesehir College Istanbul,BAH,#000A6E,#ED1C24,https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png,png,images/logos/ec/bahcesehircollegeistanbul.png,TRUE,183613
BAXI Manresa,MAN,#C2302B,#FFFFFF,https://media-cdn.cortextech.io/a28053c7-ada4-47de-ae4c-888c1b3996b6.png,png,images/logos/ec/baximanresa.png,TRUE,98720
Besiktas GAIN Istanbul,BES,#FFFFFF,#FFFFFF,https://media-cdn.cortextech.io/7d37b2d0-2a4a-4a86-bf2c-266bd8da7cac.png,png,images/logos/ec/besiktasgainistanbul.png,TRUE,46156
Buducnost VOLI Podgorica,BUD,#FFFFFF,#FFFFFF,https://media-cdn.incrowdsports.com/47161285-94b3-4266-9d23-b722e8600945.png,png,images/logos/ec/buducnostvolipodgorica.png,TRUE,9690
Cedevita Olimpija Ljubljana,LJU,#007941,#F26739,https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png,png,images/logos/ec/cedevitaolimpijaljubljana.png,TRUE,8960
Cosea JL Bourg-en-Bresse,BOU,#DA291C,#FFFFFF,https://media-cdn.incrowdsports.com/d4225e1b-7c1b-4382-98d4-ca8511c64441.png,png,images/logos/ec/coseajlbourgenbresse.png,TRUE,113829
Dolomiti Energia Trento,TRN,#FFFFFF,#FFFFFF,https://media-cdn.incrowdsports.com/00c5cc07-732c-43c3-9d6e-5440594a25f8.png,png,images/logos/ec/dolomitienergiatrento.png,TRUE,64017
Hapoel Bank Yahav Jerusalem,JER,#DF1B22,#FFFFFF,https://media-cdn.incrowdsports.com/8058e0c5-3042-45e1-9423-f93f33c54576.png,png,images/logos/ec/hapoelbankyahavjerusalem.png,TRUE,49469
Lietkabelis Panevezys,LKB,#6F263D,#FFFFFF,https://media-cdn.cortextech.io/ffcb6e37-31f4-48f6-91c2-a8c9a6f791a9.png,png,images/logos/ec/lietkabelispanevezys.png,TRUE,135705
London Lions,LLI,#FFFFFF,#FFFFFF,https://media-cdn.cortextech.io/102de468-9e41-4b8e-b44d-23bebb9e916f.png,png,images/logos/ec/londonlions.png,TRUE,56383
Neptunas Klaipeda,KLA,#DA8341,#DA8341,https://media-cdn.cortextech.io/ed0df5cd-c9e4-4387-bcd4-3606270cd255.png,png,images/logos/ec/neptunasklaipeda.png,TRUE,85126
NINERS Chemnitz,NIN,#FFFFFF,#DC7A2F,https://media-cdn.cortextech.io/75ae96be-69f9-4e48-b5bd-b1056842db57.png,png,images/logos/ec/ninerschemnitz.png,TRUE,67975
Panionios Athens,NIO,#1333B6,#1333B6,https://media-cdn.cortextech.io/72d40b5d-e5bc-4ae4-b60e-50891c25e847.png,png,images/logos/ec/panioniosathens.png,TRUE,41727
ratiopharm Ulm,ULM,#EC7404,#000000,https://media-cdn.incrowdsports.com/497dc717-214d-4c03-8c67-0c4870278aa0.png,png,images/logos/ec/ratiopharmulm.png,TRUE,6006
Slask Wroclaw,WRO,#538A59,#D2AA53,https://media-cdn.incrowdsports.com/0415061b-5374-4a0d-bc04-8fcbc8ad0bb3.png,png,images/logos/ec/slaskwroclaw.png,TRUE,94741
Turk Telekom Ankara,TTK,#49BED8,#FFFFFF,https://media-cdn.incrowdsports.com/4ba35608-54ca-4800-a59c-f2571e6f8e13.png,png,images/logos/ec/turktelekomankara.png,TRUE,182148
U-BT Cluj-Napoca,CLU,#FFFFFF,#000000,https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png,png,images/logos/ec/ubtclujnapoca.png,TRUE,93847
Umana Reyer Venice,VNC,#74172B,#D0B46E,https://media-cdn.incrowdsports.com/104f5074-9f23-47da-a21f-f2078db8244c.png,png,images/logos/ec/umanareyervenice.png,TRUE,9420
Veolia Towers Hamburg,HAM,#000000,#FFFFFF,https://media-cdn.incrowdsports.com/5ef8be01-ad71-42c2-aa02-d5c7a9495258.png,png,images/logos/ec/veoliatowershamburg.png,TRUE,8685
