SEASON,TEAMS,FORMAT,HEIGHT,BC HEIGHT,FC HEIGHT,AGE,GP,PACE,OFF RTG,TS%,OR%,FTA/FGA,%2P,2P%,%3P,3P%
2024-2025,18,1G,198.4,193.2,206.7,29.8,34,72,116.3,59%,31.8,30%,59%,56%,41%,36%
2023-2024,18,1G,199,193.5,207,30,34,70.1,115.6,59%,30.9,28%,60%,55%,40%,36%
2022-2023,18,1G,199.2,193.9,206.7,29.6,34,70.2,114.3,59%,30.7,30%,59%,55%,41%,36%
2021-2022,18,1G,199.3,194.2,206.8,29.8,34,69.2,110.9,57%,30,26%,60%,56%,40%,36%
2020-2021,18,1G,199.5,194.4,206.5,29.5,34,69.5,113.4,59%,29.7,28%,60%,54%,40%,38%
2019-2020,18,1G,199.3,194.1,207.1,29.3,28,70.3,113.6,59%,30.4,29%,60%,53%,40%,37%
2018-2019,16,1G,199.5,193.9,207.4,28.9,30,70,114.8,59%,30.4,29%,63%,54%,37%,37%
2017-2018,16,1G,199.5,194.6,206.6,28.7,30,69.5,115.4,59%,30.7,30%,63%,53%,37%,38%
2016-2017,16,1G,199.2,194.8,206.8,28.6,30,70.6,111.5,58%,29.9,29%,63%,52%,37%,37%
2015-2016,24,RS+T16,199.5,194.8,207,28.2,10+14,70.3,107.9,56%,29.6,30%,64%,51%,36%,36%
2014-2015,24,RS+T16,199.2,194.1,206.7,28.1,10+14,70.8,109.2,56%,29.5,29%,64%,51%,36%,35%
2013-2014,24,RS+T16,199.5,194.3,207.2,28.1,10+14,69.1,108.1,56%,30.1,27%,65%,51%,35%,35%
2012-2013,24,RS+T16,198.9,193.4,207,28.2,10+14,69.3,107.1,56%,29.9,30%,66%,51%,34%,35%
2011-2012,24,RS+T16,199.1,193,207,28.4,10+6,70,105.7,55%,28.6,31%,67%,51%,33%,34%
2010-2011,24,RS+T16,199.4,193.4,208,28.1,10+6,69.6,105.3,55%,30.6,33%,67%,51%,33%,33%
2009-2010,24,RS+T16,199.2,193.1,207.5,28,10+6,69.4,107,58%,28.8,36%,63%,53%,37%,35%
2008-2009,24,RS+T16,198.9,192.6,206.9,27.9,10+6,69.5,108.5,57%,30.9,35%,65%,52%,35%,35%
2007-2008,24,RS+T16,198.5,192.6,206.4,27.7,14+6,70.3,108.4,57%,29.4,34%,65%,52%,35%,36%
2006-2007,24,RS+T16,198.3,192.7,206.2,27.7,14+6,70.2,107.7,57%,29.8,38%,66%,52%,34%,36%
2005-2006,24,RS+T16,198.5,192.4,206.7,27.8,14+6,69.8,106.4,56%,29.8,37%,65%,50%,35%,35%
2004-2005,24,RS+T16,199,192.8,206.9,27.5,14+6,70.2,109.4,57%,30.3,38%,66%,52%,34%,35%
2003-2004,24,RS+T16,198.6,191.6,206.6,27.6,14+6,69.3,112.1,59%,30.6,39%,67%,53%,33%,36%
2002-2003,24,RS+T16,199.3,192.1,206.6,27.3,14+6,70.4,111.1,58%,29.9,39%,69%,52%,31%,37%
2001-2002,32,RS+T16,199.6,192.3,206.4,27.4,14+6,73.1,109.4,58%,30.8,40%,69%,52%,31%,36%
2000-2001,24,RS,199.4,192.5,206.9,28,10,73.9,109.8,58%,30.8,41%,70%,53%,30%,34%
