PLAYER,TEAM,SEASON,ROLE,NAT,HEIGHT,AGE,GP,W,L,W%,MIN,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,ST,BLK,PF,DF,+/-,POSS,USG%,PPP,TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,EFG%,TS%,RIM FREQ,RIM PPS,PAINT FREQ,PAINT PPS,MID FREQ,MID PPS,C3 FREQ,C3 PPS,L3 FREQ,L3 PPS,FT RATIO,TOV%,LTOV%,DTOV%,AST%,AST% (2P),AST% (3P),AST% (FT),AST RATIO,ORB%,ORB% (2P),ORB% (3P),ORB% (FT),DRB%,DRB% (2P),DRB% (3P),DRB% (FT),TRB%,ST%,BLK%,BLK% (2P),BLK% (3P),PER,OWS,DWS,WS,WS 40MIN,OBPM,DBPM,BPM,VORP
Brown A.,Turk Ankara,2024-2025,F,USA,198,32,18,10,8,55.60%,603,330,69,133,51.90%,50,107,46.70%,119,240,49.60%,42,51,82.40%,12,63,75,53,44,11,5,44,50,60,307,24.30%,1.075,112.5,108,4.5,116.6,101.6,15,60.00%,62.70%,6.50%,1.5,18.20%,0.82,18.60%,1.09,1.60%,2.4,33.20%,1.35,7.50%,14.30%,7.20%,7.20%,12.70%,9.60%,28.90%,6.80%,14.70%,2.30%,1.30%,3.70%,0.00%,11.00%,8.30%,14.50%,14.60%,6.90%,1.00%,0.50%,0.70%,0.00%,17.7,0.9,1.3,2.3,0.137,1.5,-0.9,0.6,0.9
Best A.,Trefl Sopot,2024-2025,PG,CAN,193,32,18,1,17,5.60%,549,170,37,90,41.10%,23,81,28.40%,60,171,35.10%,27,33,81.80%,13,50,63,32,40,14,2,56,42,-128,225,19.40%,0.756,99.9,112.5,-12.6,82.9,105.4,-22.5,41.80%,45.90%,5.80%,1.23,27.10%,0.79,7.10%,0.63,5.30%,1.5,30.70%,0.74,6.20%,17.80%,11.60%,6.20%,8.20%,8.00%,13.90%,4.00%,12.50%,2.60%,2.30%,3.30%,0.00%,10.40%,9.20%,12.20%,3.60%,6.40%,1.40%,0.20%,0.20%,0.30%,6.1,-0.9,0.8,-0.1,-0.005,-4.8,-0.8,-5.6,-1.1
Jessup J.,ratiopharm Ulm,2024-2025,F,USA,198,27,18,9,9,50.00%,547,234,40,78,51.30%,43,106,40.60%,83,184,45.10%,25,33,75.80%,16,59,75,61,27,24,5,40,33,-6,223,18.70%,1.049,115.7,116.8,-1.1,125.4,107.9,17.5,56.80%,59.70%,3.60%,1.75,17.00%,1.05,14.30%,0.81,4.90%,1.91,41.70%,1.16,5.40%,12.10%,7.20%,4.90%,14.30%,10.70%,29.80%,6.00%,21.50%,3.30%,2.20%,3.90%,6.90%,13.70%,12.90%,14.40%,14.30%,8.10%,2.40%,0.60%,0.80%,0.30%,17,1.1,0.7,1.7,0.128,3.1,-0.5,2.6,1.4
Cowan A.,Wolves Vilnius,2024-2025,PG,USA,185,27,18,10,8,55.60%,541,287,32,67,47.80%,40,111,36.00%,72,178,40.40%,103,118,87.30%,4,32,36,102,47,25,0,49,120,59,279,24.50%,1.029,113.7,109.1,4.6,120.6,102.5,18.1,51.70%,61.90%,4.70%,1.54,15.10%,0.71,4.30%,1.17,4.30%,1,35.50%,1.09,19.40%,16.80%,9.70%,7.20%,26.10%,24.20%,42.40%,15.00%,26.80%,0.90%,1.00%,0.40%,3.70%,6.70%,4.80%,8.70%,6.50%,3.80%,2.50%,0.00%,0.00%,0.00%,19.1,1.3,1,2.3,0.158,4.7,-2.3,2.4,1.4
Simpson Z.,Cluj-Napoca,2024-2025,PG,USA,183,28,18,10,8,55.60%,536,319,93,168,55.40%,16,43,37.20%,109,211,51.70%,85,101,84.20%,18,52,70,135,74,21,3,51,90,57,326,28.00%,0.979,117.1,113.5,3.6,127.2,104.3,22.9,55.50%,63.30%,14.10%,1.48,30.10%,1,7.40%,0.83,0.30%,0,12.90%,1.14,12.60%,22.70%,15.30%,7.40%,34.70%,31.30%,49.00%,21.30%,29.30%,4.10%,4.00%,5.00%,0.00%,11.10%,12.10%,10.90%,3.80%,7.70%,2.10%,0.40%,0.40%,0.30%,21.5,2.3,1,3.2,0.211,4.4,-2.7,1.7,1.2
Smith J.,Bahçeşehir Koleji SK,2024-2025,PG,USA,190,30,18,14,4,77.80%,534,232,43,93,46.20%,35,101,34.70%,78,194,40.20%,41,42,97.60%,10,39,49,100,37,21,2,48,51,133,250,23.40%,0.928,120.1,106.3,13.8,120.1,99.6,20.5,49.20%,54.50%,6.40%,1.38,19.60%,0.9,11.20%,0.71,5.20%,0.92,34.40%,1.08,7.60%,14.80%,8.40%,6.40%,24.40%,22.00%,41.00%,16.30%,28.60%,2.30%,3.10%,1.80%,0.00%,8.40%,7.90%,10.20%,0.00%,5.50%,2.30%,0.20%,0.00%,0.60%,17.7,1.2,1.2,2.4,0.155,3.6,-0.6,3,1.7
Bouteille A.,Bahçeşehir Koleji SK,2024-2025,F/PF,FRA,201,30,18,14,4,77.80%,525,210,46,86,53.50%,34,79,43.00%,80,165,48.50%,16,25,64.00%,22,77,99,24,15,11,7,25,32,103,191,18.00%,1.099,122.2,110.2,12,117.3,101.5,15.8,58.80%,59.70%,5.80%,1.45,22.00%,1.1,17.30%,0.91,5.80%,0.82,35.60%,1.37,5.80%,7.90%,4.20%,3.70%,5.90%,6.80%,7.30%,2.80%,11.20%,5.00%,5.80%,3.40%,10.00%,16.50%,13.80%,17.30%,30.80%,10.90%,1.20%,0.90%,0.80%,0.30%,17,0.6,1.1,1.7,0.112,1.5,1.2,2.7,1.6
Harper J.,Hapoel Jerusalem BC,2024-2025,PG,USA,178,27,17,10,7,58.80%,515,386,60,124,48.40%,35,86,40.70%,95,210,45.20%,161,184,87.50%,5,40,45,97,44,17,4,33,131,60,332,29.30%,1.163,112.3,108,4.3,134.9,101,33.9,53.60%,67.00%,5.70%,1.47,25.00%,0.87,6.60%,0.91,1.50%,2.4,24.40%,1.15,23.50%,13.30%,9.00%,4.20%,28.70%,26.70%,50.70%,14.50%,22.60%,1.00%,1.70%,0.50%,0.00%,8.20%,6.20%,11.10%,0.00%,4.60%,1.80%,0.50%,0.80%,0.00%,27.5,2.6,1,3.6,0.264,8.1,-1.4,6.7,2.7
Sulaimon R.,KK Buducnost,2024-2025,PG/SG,NGR,190,31,18,9,9,50.00%,515,244,51,98,52.00%,37,112,33.00%,88,210,41.90%,31,43,72.10%,7,60,67,54,26,16,0,46,53,33,254,23.70%,0.961,117.7,115,2.7,109.6,108.5,1.1,50.70%,53.50%,4.30%,1.82,23.20%,1.08,11.00%,0.64,2.00%,0.6,41.70%,1.02,7.10%,10.20%,4.30%,5.90%,13.40%,13.10%,21.90%,7.00%,17.50%,1.70%,1.90%,1.60%,0.00%,14.20%,10.30%,17.80%,10.30%,7.90%,1.70%,0.00%,0.00%,0.00%,15.2,0.4,0.6,0.9,0.067,1.3,-2,-0.7,0.4
Odiase T.,Bahçeşehir Koleji SK,2024-2025,PF,USA,206,29,18,14,4,77.80%,503,256,91,144,63.20%,0,2,0.00%,91,146,62.30%,74,97,76.30%,44,54,98,13,22,5,19,42,67,116,211,20.90%,1.213,120,106.5,13.5,119.7,100.4,19.3,62.30%,67.70%,24.20%,1.69,41.20%,1.03,2.80%,1,0.00%,0,0.50%,0,20.40%,10.40%,2.40%,8.10%,3.70%,4.70%,0.00%,2.70%,5.80%,10.50%,12.10%,8.80%,3.60%,12.40%,15.20%,9.60%,15.80%,11.50%,0.60%,2.50%,2.70%,0.00%,21.4,0.7,1,1.7,0.116,1.2,1.3,2.5,1.5
Robinson D.,KK Cedevita Junior,2024-2025,F,USA,203,30,18,10,8,55.60%,503,266,96,182,52.70%,10,34,29.40%,106,216,49.10%,44,61,72.10%,22,73,95,27,30,22,6,44,55,-7,270,25.10%,0.985,106.5,108,-1.5,103,99.1,3.9,51.40%,55.40%,21.10%,1.58,20.00%,0.89,26.30%,0.76,2.20%,0.5,10.40%,0.96,8.90%,11.10%,4.10%,7.00%,7.70%,7.80%,11.90%,4.90%,9.10%,4.90%,5.80%,4.60%,0.00%,16.00%,18.80%,14.40%,7.40%,10.50%,2.30%,0.70%,0.90%,0.60%,19,0.2,1.2,1.5,0.104,-0.8,0.4,-0.3,0.5
Alexander K.,Turk Ankara,2024-2025,C,JAM,208,28,17,9,8,52.90%,491,152,56,90,62.20%,0,7,0.00%,56,97,57.70%,40,57,70.20%,45,75,120,21,20,18,36,42,55,-33,141,13.70%,1.078,107,110.3,-3.3,118.8,96.8,22,57.70%,62.80%,27.00%,1.79,29.80%,0.95,7.10%,0.4,0.70%,0,4.30%,0,17.00%,14.20%,4.30%,9.90%,5.90%,4.70%,0.00%,1.10%,13.00%,10.40%,9.50%,11.00%,14.80%,16.10%,17.10%,13.80%,24.20%,13.40%,2.00%,4.60%,4.80%,1.00%,19.5,0.6,1.4,2,0.143,0.2,4.7,4.9,2.1
Lamb A.,Aquila Trento,2024-2025,F/PF,USA,198,27,18,6,12,33.30%,479,246,58,107,54.20%,27,102,26.50%,85,209,40.70%,49,63,77.80%,14,57,71,47,56,16,6,43,79,-46,291,28.50%,0.845,100.9,106.8,-5.9,93.2,99.1,-5.9,47.10%,52.30%,4.10%,1.33,24.70%,1.11,7.90%,0.87,5.80%,0.53,29.20%,0.85,8.90%,19.20%,11.30%,7.90%,15.10%,13.30%,25.40%,10.80%,13.90%,3.20%,3.00%,2.40%,10.70%,13.40%,11.00%,13.30%,30.80%,8.20%,1.80%,0.80%,0.80%,0.70%,12.9,-0.6,1,0.5,0.04,-2,-1,-3,-0.3
