TEAM_ABB,TEAM,GP,W,L,MIN,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,ST,BLK,PF,DF,+/−,POSS,PACE,OFF RTG,DEF RTG,NET RTG,EFG%,TS%,RIM FREQ,RIM PPS,PAINT FREQ,PAINT PPS,MID FREQ,MID PPS,C3 FREQ,C3 PPS,L3 FREQ,L3 PPS,FT FREQ,TOV%,LTOV%,DTOV%,AST%,AST% (2P),AST% (3P),AST% (FT),AST RATIO,ORB%,ORB% (2P),ORB% (3P),ORB% (FT),DRB%,DRB% (2P),DRB% (3P),DRB% (FT),TRB%,ST%,BLK%,BLK% (2P),BLK% (3P),KILLS
TRN,Aquila Trento,1,1,0,200,79,16,31,51.60%,10,34,29.40%,26,65,40.00%,17,23,73.90%,18,30,48,16,12,11,0,19,22,31,68,68,116.2,68.6,47.6,47.70%,53.40%,10.50%,2,23.30%,0.5,2.30%,2,3.50%,2,36.00%,0.77,10.50%,14.00%,4.70%,9.30%,45.70%,37.50%,60.00%,44.40%,18.60%,40.90%,28.60%,45.80%,50.00%,68.20%,76.20%,59.10%,100.00%,54.50%,15.70%,0.00%,0.00%,0.00%,11
LLI,London Lions,1,1,0,200,86,21,39,53.80%,10,22,45.50%,31,61,50.80%,14,18,77.80%,8,33,41,17,12,6,3,18,24,27,73,73,117.8,81.9,35.9,59.00%,62.30%,3.70%,2,24.70%,1.1,19.80%,0.88,0.00%,0,27.20%,1.36,9.90%,14.80%,8.60%,6.20%,44.70%,42.90%,60.00%,28.60%,21.00%,26.70%,33.30%,18.20%,0.00%,71.70%,64.00%,75.00%,100.00%,53.90%,8.30%,4.60%,7.10%,0.00%,7
HAM,Hamburg Towers,1,1,0,200,100,27,37,73.00%,7,23,30.40%,34,60,56.70%,25,28,89.30%,10,30,40,18,14,6,5,21,26,15,77,77,129.9,109,20.9,62.50%,68.50%,8.00%,1.71,28.70%,1.52,5.70%,0.8,1.10%,0,25.30%,0.95,14.90%,16.10%,8.00%,8.00%,38.30%,40.70%,71.40%,15.40%,20.70%,38.50%,30.00%,43.80%,0.00%,57.70%,42.90%,69.60%,60.00%,51.30%,7.70%,6.80%,10.00%,2.90%,6
CLU,Cluj-Napoca,1,1,0,200,98,16,34,47.10%,13,26,50.00%,29,60,48.30%,27,35,77.10%,17,17,34,23,18,14,0,25,26,8,77,77,127.3,115.4,11.9,59.20%,64.50%,9.60%,1.56,18.10%,0.94,8.50%,0.25,1.10%,3,25.50%,1.38,17.00%,19.10%,11.70%,7.40%,52.30%,37.50%,84.60%,40.00%,24.50%,47.20%,52.90%,50.00%,20.00%,73.90%,75.00%,66.70%,100.00%,57.60%,17.90%,0.00%,0.00%,0.00%,5
KLA,KK Neptunas,1,1,0,200,95,22,42,52.40%,12,26,46.20%,34,68,50.00%,15,21,71.40%,12,29,41,20,16,5,4,23,23,10,81,81,117.3,106.3,11,58.80%,61.70%,6.50%,2,36.60%,0.94,2.20%,0,7.50%,1.71,20.40%,1.26,9.70%,17.20%,11.80%,5.40%,46.50%,36.40%,83.30%,22.20%,21.50%,33.30%,30.00%,38.50%,50.00%,60.40%,62.50%,60.00%,50.00%,48.80%,6.30%,5.20%,6.70%,3.10%,4
MAN,Basquet Manresa,1,1,0,200,76,16,37,43.20%,6,21,28.60%,22,58,37.90%,26,29,89.70%,11,23,34,12,15,13,0,21,29,7,74,74,102.7,93.2,9.5,43.10%,53.50%,24.40%,1.24,10.50%,0.22,8.10%,0.57,5.80%,0.6,18.60%,0.94,15.10%,17.40%,8.10%,9.30%,34.30%,43.80%,50.00%,15.40%,14.00%,30.60%,33.30%,30.80%,0.00%,74.20%,76.20%,71.40%,66.70%,50.70%,17.60%,0.00%,0.00%,0.00%,9
BES,Besiktas JK,1,1,0,200,85,20,38,52.60%,10,22,45.50%,30,60,50.00%,15,16,93.80%,6,29,35,19,14,5,1,20,23,6,75,75,113.3,105.3,8,58.30%,63.40%,3.70%,1.33,24.70%,1,18.50%,1.07,0.00%,0,27.20%,1.36,8.60%,17.30%,12.30%,4.90%,51.40%,45.00%,70.00%,42.90%,23.50%,20.70%,17.60%,27.30%,0.00%,82.90%,90.90%,77.30%,100.00%,54.70%,6.70%,1.60%,3.20%,0.00%,5
NIN,Niners Chemnitz,1,1,0,225,89,17,36,47.20%,14,38,36.80%,31,74,41.90%,13,17,76.50%,14,22,36,17,14,8,0,23,21,3,81,72,109.9,103.6,6.3,51.40%,54.90%,12.60%,1.5,17.90%,0.71,7.40%,0.57,4.20%,1.5,34.70%,1.09,7.40%,14.70%,6.30%,8.40%,44.70%,47.10%,57.10%,14.30%,17.90%,30.40%,26.30%,34.80%,25.00%,81.50%,81.80%,78.60%,100.00%,49.30%,9.60%,0.00%,0.00%,0.00%,6
TTK,Turk Ankara,1,1,0,200,96,18,39,46.20%,15,30,50.00%,33,69,47.80%,15,22,68.20%,16,25,41,19,17,9,2,32,21,3,79,79,121.5,116.3,5.2,58.70%,61.50%,10.50%,1.6,20.00%,0.53,10.50%,1,2.10%,1.5,28.40%,1.56,9.50%,17.90%,12.60%,5.30%,45.20%,33.30%,60.00%,44.40%,20.00%,41.00%,52.40%,35.70%,0.00%,67.60%,70.00%,61.10%,85.70%,53.90%,11.30%,3.40%,6.90%,0.00%,4
VNC,Reyer Venezia,1,1,0,200,85,23,38,60.50%,8,19,42.10%,31,57,54.40%,15,21,71.40%,5,29,34,15,15,4,1,21,20,4,76,76,111.8,108,3.8,61.40%,64.40%,6.20%,2,23.50%,1.37,17.30%,0.71,0.00%,0,23.50%,1.26,11.10%,18.50%,9.90%,8.60%,38.50%,30.40%,75.00%,25.00%,18.50%,17.20%,6.70%,36.40%,0.00%,72.50%,82.40%,68.40%,100.00%,49.30%,5.30%,1.50%,0.00%,0.00%,2
