Player,Team,,,Season,,,,,,MP,,,,,,,,,,,,,,,,,,,,,,,,,USG%,,,,,,,,,TS%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arslan Y.,Besiktas JK,BC Lietkabelis,EuroCup,2025-2026,01/10/2025,1,REGULAR SEASON,A,L,23,8,1,2,50.00%,2,6,33.30%,3,8,37.50%,0,0,0.00%,1,4,5,4,0,2,0,3,1,-1,8,17.40%,1,111.1,115.9,-4.8,127.7,113.1,14.6,50.00%,50.00%,0.00%,0,12.50%,0,12.50%,2,12.50%,3,62.50%,0.6,0.00%,0.00%,0.00%,0.00%,22.20%,30.00%,20.00%,0.00%,33.30%,4.00%,0.00%,5.60%,0.00%,22.20%,20.00%,28.60%,0.00%,11.60%,4.50%,0.00%,0.00%,0.00%
Arslan Y.,Besiktas JK,KK Cedevita Junior,EuroCup,2024-2025,05/03/2025,19,PLAY-OFF,A,L,23,14,2,2,100.00%,3,6,50.00%,5,8,62.50%,1,1,100.00%,2,1,3,1,0,0,0,3,0,-6,8,14.50%,1.75,106.4,119.1,-12.7,177.3,116.2,61.1,81.30%,87.50%,12.50%,2,12.50%,2,0.00%,0,12.50%,3,50.00%,1.5,0.00%,0.00%,0.00%,0.00%,5.30%,11.10%,0.00%,0.00%,11.10%,9.10%,6.70%,14.30%,0.00%,5.00%,8.30%,0.00%,0.00%,7.10%,0.00%,0.00%,0.00%,0.00%
Arslan Y.,Besiktas JK,Aquila Trento,EuroCup,2024-2025,05/02/2025,18,REGULAR SEASON,H,W,18,5,1,2,50.00%,1,4,25.00%,2,6,33.30%,0,0,0.00%,2,1,3,1,2,1,0,3,1,-6,8,18.20%,0.625,94.1,111.8,-17.7,61.1,106.2,-45.1,41.70%,41.70%,25.00%,1,0.00%,0,0.00%,0,12.50%,0,37.50%,1,0.00%,25.00%,12.50%,12.50%,7.10%,0.00%,0.00%,16.70%,11.10%,9.10%,0.00%,20.00%,0.00%,7.70%,0.00%,20.00%,0.00%,8.60%,2.90%,0.00%,0.00%,0.00%
Arslan Y.,Besiktas JK,CB Gran Canaria,EuroCup,2024-2025,29/01/2025,17,REGULAR SEASON,A,L,20,0,0,1,0.00%,0,3,0.00%,0,4,0.00%,0,0,0.00%,0,1,1,2,1,2,0,3,1,-9,5,12.50%,0,105.3,132.4,-27.1,43.6,120.8,-77.2,0.00%,0.00%,0.00%,0,20.00%,0,0.00%,0,20.00%,0,40.00%,0,0.00%,20.00%,0.00%,20.00%,13.30%,7.10%,50.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,7.70%,12.50%,0.00%,0.00%,3.20%,5.40%,0.00%,0.00%,0.00%
Arslan Y.,Besiktas JK,Trefl Sopot,EuroCup,2024-2025,22/01/2025,16,REGULAR SEASON,H,W,21,12,0,2,0.00%,4,5,80.00%,4,7,57.10%,0,0,0.00%,1,3,4,0,1,1,0,2,2,16,8,17.00%,1.5,120.9,87.8,33.1,129.5,85.6,43.9,85.70%,85.70%,12.50%,0,12.50%,0,0.00%,0,37.50%,2,25.00%,3,0.00%,12.50%,0.00%,12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,10.00%,0.00%,17.60%,0.00%,33.30%,0.00%,10.80%,2.40%,0.00%,0.00%,0.00%
Arslan Y.,Besiktas JK,Wolves Vilnius,EuroCup,2024-2025,14/01/2025,15,REGULAR SEASON,H,W,13,3,0,1,0.00%,1,4,25.00%,1,5,20.00%,0,0,0.00%,1,2,3,2,1,1,0,3,2,1,6,20.70%,0.5,92.3,95.8,-3.5,77.9,82.1,-4.2,30.00%,30.00%,0.00%,0,16.70%,0,0.00%,0,33.30%,0,33.30%,1.5,0.00%,16.70%,0.00%,16.70%,28.60%,25.00%,50.00%,0.00%,20.00%,9.10%,0.00%,20.00%,0.00%,16.70%,0.00%,33.30%,0.00%,13.00%,4.20%,0.00%,0.00%,0.00%
Arslan Y.,Besiktas JK,Badalona,EuroCup,2024-2025,08/01/2025,14,REGULAR SEASON,A,L,19,7,2,3,66.70%,1,3,33.30%,3,6,50.00%,0,0,0.00%,4,0,4,1,0,0,0,1,1,-2,6,13.30%,1.167,120,125.7,-5.7,173.4,130.6,42.8,58.30%,58.30%,0.00%,0,50.00%,1.33,0.00%,0,33.30%,0,16.70%,3,0.00%,0.00%,0.00%,0.00%,6.30%,0.00%,20.00%,0.00%,11.10%,19.00%,30.00%,11.10%,0.00%,0.00%,0.00%,0.00%,0.00%,12.10%,0.00%,0.00%,0.00%,0.00%
Arslan Y.,Besiktas JK,ratiopharm Ulm,EuroCup,2024-2025,26/12/2024,13,REGULAR SEASON,A,L,19,9,2,2,100.00%,1,4,25.00%,3,6,50.00%,2,2,100.00%,1,1,2,0,2,0,0,2,1,1,9,18.40%,1,102.4,102.5,-0.1,87.6,103.3,-15.7,58.30%,64.30%,22.20%,2,0.00%,0,0.00%,0,11.10%,0,33.30%,1,11.10%,22.20%,22.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.00%,14.30%,0.00%,0.00%,5.60%,0.00%,11.10%,0.00%,5.30%,0.00%,0.00%,0.00%,0.00%
Arslan Y.,Besiktas JK,Hapoel Tel Aviv,EuroCup,2024-2025,18/12/2024,12,REGULAR SEASON,A,L,25,8,1,3,33.30%,2,3,66.70%,3,6,50.00%,0,0,0.00%,0,0,0,0,2,1,0,3,0,-2,8,13.80%,1,133.3,140.4,-7.1,87.5,134.4,-46.9,66.70%,66.70%,12.50%,0,25.00%,1,0.00%,0,0.00%,0,37.50%,2,0.00%,25.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.10%,0.00%,0.00%,0.00%
Arslan Y.,Besiktas JK,Bahçeşehir Koleji SK,EuroCup,2024-2025,11/12/2024,11,REGULAR SEASON,H,W,22,11,1,2,50.00%,3,7,42.90%,4,9,44.40%,0,0,0.00%,1,4,5,1,1,0,0,2,1,13,10,20.40%,1.1,131.8,107.1,24.7,83.6,100.3,-16.7,61.10%,61.10%,0.00%,0,20.00%,1,0.00%,0,0.00%,0,60.00%,1.5,0.00%,10.00%,0.00%,10.00%,4.50%,0.00%,0.00%,12.50%,11.10%,5.90%,0.00%,12.50%,0.00%,19.00%,8.30%,28.60%,50.00%,13.20%,0.00%,0.00%,0.00%,0.00%
