Player,Team,,,Season,,,,,,MP,,,,,,,,,,,,,,,,,,,,,,,,,USG%,,,,,,,,,TS%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulaimon R.,KK Buducnost,Turk Ankara,EuroCup,2024-2025,05/03/2025,19,PLAY-OFF,A,L,31,9,3,5,60.00%,0,9,0.00%,3,14,21.40%,3,4,75.00%,1,4,5,4,0,2,0,1,3,-19,16,23.50%,0.563,94.7,128.1,-33.4,88.3,121.9,-33.6,21.40%,28.10%,0.00%,0,18.80%,2,12.50%,0,12.50%,0,43.80%,0,12.50%,0.00%,0.00%,0.00%,16.70%,21.40%,0.00%,50.00%,100.00%,2.90%,0.00%,5.60%,0.00%,22.20%,0.00%,27.30%,50.00%,9.40%,3.50%,0.00%,0.00%,0.00%
Sulaimon R.,KK Buducnost,Wolves Vilnius,EuroCup,2024-2025,05/02/2025,18,REGULAR SEASON,A,L,27,14,3,5,60.00%,1,6,16.70%,4,11,36.40%,5,5,100.00%,1,4,5,2,2,0,0,2,3,-13,15,27.80%,0.933,108,136.7,-28.7,111.5,133,-21.5,40.90%,53.80%,0.00%,0,33.30%,1.2,0.00%,0,6.70%,0,33.30%,0.6,13.30%,13.30%,6.70%,6.70%,9.10%,8.30%,33.30%,0.00%,100.00%,4.30%,7.70%,0.00%,0.00%,20.00%,11.10%,20.00%,100.00%,11.60%,0.00%,0.00%,0.00%,0.00%
Sulaimon R.,KK Buducnost,Badalona,EuroCup,2024-2025,29/01/2025,17,REGULAR SEASON,H,W,17,10,3,3,100.00%,0,2,0.00%,3,5,60.00%,4,4,100.00%,0,1,1,1,1,0,0,0,2,17,8,21.10%,1.25,127.3,78.1,49.2,145,83.6,61.4,60.00%,71.40%,12.50%,2,12.50%,2,12.50%,2,0.00%,0,25.00%,0,25.00%,12.50%,0.00%,12.50%,6.30%,0.00%,25.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,5.00%,0.00%,7.70%,0.00%,3.30%,0.00%,0.00%,0.00%,0.00%
Sulaimon R.,KK Buducnost,ratiopharm Ulm,EuroCup,2024-2025,22/01/2025,16,REGULAR SEASON,A,W,31,27,4,6,66.70%,4,10,40.00%,8,16,50.00%,7,8,87.50%,1,1,2,2,0,1,0,4,6,10,19,29.20%,1.421,131.5,110.9,20.6,167.9,105.2,62.7,62.50%,71.10%,0.00%,0,31.60%,1.33,0.00%,0,10.50%,1.5,42.10%,1.13,15.80%,0.00%,0.00%,0.00%,6.70%,6.30%,50.00%,0.00%,100.00%,4.00%,7.10%,0.00%,0.00%,4.00%,12.50%,0.00%,0.00%,4.00%,1.80%,0.00%,0.00%,0.00%
Sulaimon R.,KK Buducnost,Hapoel Tel Aviv,EuroCup,2024-2025,15/01/2025,15,REGULAR SEASON,H,W,26,19,6,10,60.00%,2,7,28.60%,8,17,47.10%,1,2,50.00%,2,2,4,1,2,0,0,4,1,2,20,35.10%,0.95,120.4,116.3,4.1,94,116.3,-22.3,52.90%,52.80%,15.00%,2,15.00%,2,20.00%,0,0.00%,0,35.00%,0.86,5.00%,10.00%,5.00%,5.00%,3.80%,0.00%,20.00%,0.00%,100.00%,9.10%,9.10%,9.10%,0.00%,11.80%,20.00%,9.10%,0.00%,10.30%,0.00%,0.00%,0.00%,0.00%
Sulaimon R.,KK Buducnost,Bahçeşehir Koleji SK,EuroCup,2024-2025,08/01/2025,14,REGULAR SEASON,A,L,30,9,2,4,50.00%,1,6,16.70%,3,10,30.00%,2,2,100.00%,0,6,6,4,1,1,0,4,3,1,12,20.00%,0.75,133.3,131.4,1.9,113.6,115.8,-2.2,35.00%,40.90%,0.00%,0,16.70%,1,16.70%,1,0.00%,0,41.70%,0.6,8.30%,8.30%,0.00%,8.30%,13.30%,16.70%,16.70%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,25.00%,18.80%,33.30%,50.00%,12.20%,2.00%,0.00%,0.00%,0.00%
Sulaimon R.,KK Buducnost,Trefl Sopot,EuroCup,2024-2025,02/01/2025,13,REGULAR SEASON,A,W,34,15,3,6,50.00%,3,8,37.50%,6,14,42.90%,0,0,0.00%,0,4,4,6,0,1,0,3,4,18,14,20.90%,1.071,115.9,85.9,30,131.4,86.3,45.1,53.60%,53.60%,14.30%,1,28.60%,1,0.00%,0,0.00%,0,57.10%,1.13,0.00%,0.00%,0.00%,0.00%,18.50%,23.50%,33.30%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,14.30%,6.70%,25.00%,0.00%,7.80%,1.60%,0.00%,0.00%,0.00%
Sulaimon R.,KK Buducnost,Aquila Trento,EuroCup,2024-2025,18/12/2024,12,REGULAR SEASON,H,W,30,19,2,3,66.70%,5,10,50.00%,7,13,53.80%,0,2,0.00%,0,6,6,2,1,0,0,3,2,-2,15,24.60%,1.267,130.4,127.1,3.3,109.8,125.1,-15.3,73.10%,67.90%,6.70%,2,6.70%,2,6.70%,0,0.00%,0,66.70%,1.5,6.70%,6.70%,6.70%,0.00%,6.10%,8.30%,0.00%,10.00%,100.00%,0.00%,0.00%,0.00%,0.00%,24.00%,7.70%,50.00%,0.00%,12.00%,0.00%,0.00%,0.00%,0.00%
Sulaimon R.,KK Buducnost,CB Gran Canaria,EuroCup,2024-2025,11/12/2024,11,REGULAR SEASON,A,L,18,2,1,5,20.00%,0,4,0.00%,1,9,11.10%,0,0,0.00%,1,0,1,0,1,0,0,2,2,-11,10,25.00%,0.2,97.1,129.4,-32.3,20.4,133.9,-113.5,11.10%,11.10%,10.00%,2,20.00%,0,20.00%,0,10.00%,0,30.00%,0,0.00%,10.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.90%,0.00%,14.30%,0.00%,0.00%,0.00%,0.00%,0.00%,3.60%,0.00%,0.00%,0.00%,0.00%
Sulaimon R.,KK Buducnost,Besiktas JK,EuroCup,2024-2025,04/12/2024,10,REGULAR SEASON,H,L,26,8,2,2,100.00%,1,4,25.00%,3,6,50.00%,1,1,100.00%,0,3,3,6,3,1,0,2,4,4,9,17.00%,0.889,118.4,114.9,3.5,113.6,102.1,11.5,58.30%,66.70%,0.00%,0,22.20%,2,0.00%,0,0.00%,0,44.40%,0.75,0.00%,33.30%,11.10%,22.20%,23.10%,16.70%,50.00%,28.60%,100.00%,0.00%,0.00%,0.00%,0.00%,9.70%,0.00%,21.40%,0.00%,6.40%,2.10%,0.00%,0.00%,0.00%
