RNK,NAME,ROLE,NAT,HEIGHT,AGE,ROUND,TM NAME,OPP NAME,DATE,H/A,GROUP,W/L,MIN,PTS,2PTM,2PTA,2PT%,3PTM,3PTA,3PT%,FGM,FGA,FG%,FTM,FTA,FT%,OR,DR,TR,AST,PF,DF,ST,TO,BLK,BLKA,VAL,+ / -,POSS,USG%,OFF RTG,DEF RTG,NET RTG,%2P,%3P,OR%,DR%,TR%,AST%,AST Ratio,AST/TO,TO Ratio,ST%,PF 100 Poss,DF 100 Poss,BLK%,eFG%,TS%
1,Ferrell Yogi,PG,USA,182,29,6,Cedevita Olimpija Ljubljana,Virtus Segafredo Bologna,08/12/2021,H,-,L,29.4,24,1,1,100%,5,9,56%,6,10,60%,7,7,100%,0,3,3,11,1,7,1,3,0,0,38,0,16.3,25%,164,132.7,31.4,10%,90%,0%,10%,6%,56%,40.6,3.7,11.1,1.7,1.7,12.2,0,85%,92%
2,Ferrell Yogi,PG,USA,182,29,7,Cedevita Olimpija Ljubljana,Umana Reyer Venice,15/12/2021,A,-,L,26.7,9,2,8,25%,1,5,20%,3,13,23%,2,2,100%,1,2,3,3,4,2,0,3,0,1,-1,0,13.8,29%,72.5,106.4,-33.9,62%,38%,4%,8%,6%,24%,15.1,1,15.1,0,8,4,0,27%,32%
3,Ferrell Yogi,PG,USA,182,29,8,Cedevita Olimpija Ljubljana,Valencia Basket,21/12/2021,A,-,W,35,15,2,4,50%,3,7,43%,5,11,45%,2,2,100%,0,3,3,7,3,4,2,4,0,0,18,0,15.2,21%,111.3,110.6,0.7,36%,64%,0%,9%,5%,27%,30.6,1.8,17.5,2.9,4.4,5.8,0,59%,63%
4,Ferrell Yogi,PG,USA,182,29,10,Cedevita Olimpija Ljubljana,Gran Canaria,19/01/2022,H,-,L,21.5,11,1,4,25%,2,4,50%,3,8,38%,3,4,75%,0,1,1,2,1,2,1,3,0,0,7,0,10.6,26%,89.1,101.3,-12.1,50%,50%,0%,5%,2%,23%,13.6,0.7,20.3,2.5,2.5,4.9,0,50%,56%
5,Ferrell Yogi,PG,USA,182,29,11,Cedevita Olimpija Ljubljana,Mincidelice JL Bourg en Bresse,26/01/2022,A,-,L,32.2,24,4,4,100%,4,7,57%,8,11,73%,4,5,80%,0,3,3,2,2,3,1,5,0,0,22,0,15.4,26%,125.9,104.2,21.7,36%,64%,0%,10%,5%,18%,9.9,0.4,24.8,1.7,3.4,5,0,91%,91%
6,Ferrell Yogi,PG,USA,182,29,12,Cedevita Olimpija Ljubljana,Frutti Extra Bursaspor,01/02/2022,H,-,W,29.5,19,4,5,80%,2,3,67%,6,8,75%,5,5,100%,0,3,3,4,2,8,0,0,0,0,30,0,9.2,16%,196.3,115.4,80.9,63%,38%,0%,10%,7%,18%,28.2,-,0,0,3.5,13.9,0,88%,93%
7,Ferrell Yogi,PG,USA,182,29,13,Cedevita Olimpija Ljubljana,ratiopharm Ulm,09/02/2022,A,-,W,27.5,10,2,4,50%,2,4,50%,4,8,50%,0,0,-,0,1,1,7,2,2,1,5,0,0,10,0,13.5,23%,101.6,130.6,-29,50%,50%,0%,5%,3%,34%,35,1.4,25,1.9,3.9,3.9,0,63%,63%
8,Ferrell Yogi,PG,USA,182,29,14,Cedevita Olimpija Ljubljana,Buducnost VOLI Podgorica,09/03/2022,H,-,W,23.5,18,2,6,33%,4,7,57%,6,13,46%,2,2,100%,0,1,1,2,3,4,1,1,0,2,13,0,12.8,31%,129.4,108,21.4,46%,54%,0%,4%,2%,15%,11.8,2,5.9,2.3,6.8,9.1,0,62%,65%
9,Ferrell Yogi,PG,USA,182,29,9,Cedevita Olimpija Ljubljana,Promitheas Patras,10/03/2022,H,-,W,19.5,16,2,2,100%,2,3,67%,4,5,80%,6,6,100%,0,2,2,2,1,3,1,0,0,0,22,0,6.4,19%,210.5,112.3,98.2,40%,60%,0%,9%,6%,15%,20.7,-,0,2.8,2.8,8.3,0,100%,105%
10,Ferrell Yogi,PG,USA,182,29,15,Cedevita Olimpija Ljubljana,Virtus Segafredo Bologna,16/03/2022,A,-,W,30.3,11,2,5,40%,2,7,29%,4,12,33%,1,2,50%,0,1,1,6,1,4,0,1,0,0,11,0,11.9,21%,104.4,109.2,-4.8,42%,58%,0%,3%,1%,32%,30.2,6,5,0,1.8,7.1,0,42%,43%
