RNK,NAME,ROLE,NAT,HEIGHT,AGE,ROUND,TM NAME,OPP NAME,DATE,H/A,W/L,MIN,PTS,2PTM,2PTA,2PT%,3PTM,3PTA,3PT%,FGM,FGA,FG%,FTM,FTA,FT%,OR,DR,TR,AST,PF,DF,ST,TO,BLK,BLKA,VAL,+ / -,POSS,USG%,PPP,OFF RTG,DEF RTG,NET RTG,%2P,%3P,FTA/FGA,OR%,DR%,TR%,AST%,AST Ratio,AST/TO,TO Ratio,ST%,PF 100 Poss,DF 100 Poss,BLK%,eFG%,TS%
1,Ferrell Yogi,PG,USA,182,30,1,Cedevita Olimpija Ljubljana,Frutti Extra Bursaspor,12/10/2022,H,L,32,12,4,7,57%,0,6,0%,4,13,31%,4,5,80%,0,3,3,7,0,6,2,0,0,0,20,0,15,23%,0.8,103.6,122.2,-18.7,54%,46%,38%,0%,11%,5%,44%,31.8,-,-,3.4,0,10.3,0,31%,40%
2,Ferrell Yogi,PG,USA,182,30,3,Cedevita Olimpija Ljubljana,Joventut Badalona,26/10/2022,H,L,30,20,4,6,67%,3,7,43%,7,13,54%,3,4,75%,0,0,0,1,2,7,1,1,0,0,19,0,16,25%,1.25,127.7,144.8,-17,46%,54%,31%,0%,0%,0%,9%,5.9,1,6.3,1.9,3.6,12.5,0,65%,67%
3,Ferrell Yogi,PG,USA,182,30,4,Cedevita Olimpija Ljubljana,Umana Reyer Venice,02/11/2022,A,L,34,27,3,5,60%,5,12,42%,8,17,47%,6,6,100%,1,3,4,5,1,8,1,0,0,0,35,0,20,27%,1.35,161.2,112.9,48.3,29%,71%,35%,3%,9%,6%,56%,20,-,-,1.6,1.6,12.7,0,62%,68%
4,Ferrell Yogi,PG,USA,182,30,5,Cedevita Olimpija Ljubljana,Prometey Slobozhanske,22/11/2022,H,L,32,18,4,6,67%,1,7,14%,5,13,38%,7,7,100%,2,3,5,7,0,5,0,4,0,0,23,0,20,27%,0.9,113.6,134.3,-20.7,46%,54%,54%,6%,11%,8%,41%,25.9,1.8,20,0,0,7.7,0,42%,56%
5,Ferrell Yogi,PG,USA,182,30,6,Cedevita Olimpija Ljubljana,7Bet-Lietkabelis Panevezys,30/11/2022,A,L,31,17,0,1,0%,3,5,60%,3,6,50%,8,8,100%,1,0,1,5,3,10,0,4,0,0,23,0,14,22%,1.21,136.1,150.5,-14.4,17%,83%,133%,5%,0%,2%,20%,26.3,1.3,28.6,0,5.2,17.2,0,75%,85%
6,Ferrell Yogi,PG,USA,182,30,7,Cedevita Olimpija Ljubljana,ratiopharm Ulm,06/12/2022,H,W,33,14,2,3,67%,3,5,60%,5,8,63%,1,2,50%,0,3,3,9,2,5,0,3,0,0,22,0,12,18%,1.17,143.4,115.4,27.9,38%,63%,25%,0%,8%,5%,36%,42.9,3,25,0,3.3,8.2,0,81%,78%
7,Ferrell Yogi,PG,USA,182,30,8,Cedevita Olimpija Ljubljana,Germani Brescia,14/12/2022,H,L,29,17,2,5,40%,3,5,60%,5,10,50%,4,5,80%,0,2,2,4,3,7,1,3,0,0,19,0,15,25%,1.13,119.9,129.1,-9.3,50%,50%,50%,0%,8%,4%,33%,21.1,1.3,20,2,5.9,13.7,0,65%,71%
8,Ferrell Yogi,PG,USA,182,30,9,Cedevita Olimpija Ljubljana,Mincidelice JL Bourg en Bresse,21/12/2022,A,W,25,18,4,8,50%,2,5,40%,6,13,46%,4,4,100%,0,1,1,4,2,3,1,1,0,0,17,0,16,29%,1.13,133.1,143.8,-10.7,62%,38%,31%,0%,5%,2%,27%,20,4,6.3,2.1,4.2,6.3,0,54%,60%
9,Ferrell Yogi,PG,USA,182,30,10,Cedevita Olimpija Ljubljana,Frutti Extra Bursaspor,11/01/2023,A,L,31,23,3,8,38%,4,5,80%,7,13,54%,5,6,83%,0,1,1,7,2,7,0,2,0,0,27,0,18,29%,1.28,142.9,164,-21.1,62%,38%,46%,0%,5%,2%,41%,28,3.5,11.1,0,3.6,12.5,0,69%,72%
10,Ferrell Yogi,PG,USA,182,30,11,Cedevita Olimpija Ljubljana,U-BT Cluj-Napoca,18/01/2023,H,L,31,27,5,9,56%,4,10,40%,9,19,47%,5,5,100%,0,1,1,2,2,8,2,3,0,1,24,0,24,33%,1.13,122.5,112.6,10,47%,53%,26%,0%,4%,2%,17%,7.7,0.7,12.5,3.1,3.1,12.5,0,58%,64%
