TM TAG,NAME,ROLE,NAT,HEIGHT,AGE,ROUND,TM NAME,OPP NAME,DATE,H/A,GROUP,W/L,MIN,PTS,2PTM,2PTA,2PT%,3PTM,3PTA,3PT%,FGM,FGA,FG%,FTM,FTA,FT%,OR,DR,TR,AST,TO,ST,BLK,BLKA,PF,DF,VAL,+ / -,POSS,USG%,PPP,OFF RTG (ON),DEF RTG (ON),NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,eFG%,TS%,RIM FREQ,RIM PPS,PAINT FREQ,PAINT PPS,MID FREQ,MID PPS,C3 FREQ,C3 PPS,L3 FREQ,L3 PPS,FT Ratio,TO%,LTO%,DTO%,AST%,AST% (2P),AST% (3P),AST% (FT),AST Ratio,AST/TO,OR%,OR% (after 2P),OR% (after 3P),OR% (after FT),DR%,DR% (after 2P),DR% (after 3P),DR% (after FT),TR%,ST%,BLK%,BLK% (2P),BLK% (3P),PF 100 Poss,DF 100 Poss,PER,OFF WIN SHARE,DEF WIN SHARE,WIN SHARE,WIN Share per 40,OBPM,DBPM,BPM,VORP,TM PACE (ON),TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),TM TS% (ON),TM OR% (ON),TM TO% (ON),TM FT Ratio (ON),OPP TS% (ON),OPP OR% (ON),OPP TO% (ON),OPP FT Ratio (ON),TM PACE (OFF),TM OFF RTG (OFF),TM DEF RTG (OFF),TM NET RTG (OFF),TM TS% (OFF),TM OR% (OFF),TM TO% (OFF),TM FT Ratio (OFF),OPP TS% (OFF),OPP OR% (OFF),OPP TO% (OFF),OPP FT Ratio (OFF),TM PACE (NET),TM OFF RTG (NET),TM DEF RTG (NET),TM NET RTG (NET),TM TS% (NET),TM OR% (NET),TM TO% (NET),TM FT Ratio (NET),OPP TS% (NET),OPP OR% (NET),OPP TO% (NET),OPP FT Ratio (NET)
BUD,Yogi Ferrell,PG,USA,182,32,1,Buducnost VOLI Podgorica,Besiktas Fibabanka Istanbul,25/09/2024,A,-,L,20,8,2,4,50%,1,4,25%,3,8,38%,1,2,50%,0,0,0,4,3,0,0,0,1,3,5,-21,12,30%,0.67,100,147.4,-47.4,99.5,137.2,-37.7,0.4,0.4,8%,2,8%,2,17%,0,0%,-,33%,0.75,8%,25%,8%,17%,31%,25%,-,100%,25%,1.3,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.6,8.6,,,,,,,,,,68.4,100,147.4,-47.4,56%,36%,23%,5%,68%,59%,17%,10%,79.9,105.1,108.6,-3.4,55%,21%,14%,21%,56%,22%,11%,9%,-11.5,-5.1,38.8,-43.9,1%,15%,9%,-16%,12%,37%,6%,1%
BUD,Yogi Ferrell,PG,USA,182,32,2,Buducnost VOLI Podgorica,Dreamland Gran Canaria,02/10/2024,H,-,L,35,9,1,4,25%,1,8,13%,2,12,17%,4,5,80%,2,4,6,7,1,1,0,0,3,6,14,13,15,20%,0.6,128.8,112.5,16.3,122,126.1,-4.2,0.2,0.3,0%,-,20%,0.67,7%,0,0%,-,53%,0.38,13%,7%,0%,7%,24%,13%,56%,0%,32%,7,5%,0%,9%,0%,17%,0%,22%,0%,10%,2%,0%,0%,0%,5.4,10.2,,,,,,,,,,66.2,128.8,112.5,16.3,54%,41%,13%,9%,67%,9%,23%,2%,72.9,58.8,144.4,-85.6,38%,11%,0%,22%,81%,0%,7%,14%,-6.7,70,-31.9,101.9,16%,30%,13%,-13%,-14%,9%,17%,-12%
BUD,Yogi Ferrell,PG,USA,182,32,3,Buducnost VOLI Podgorica,Dolomiti Energia Trento,09/10/2024,A,-,W,26,21,6,8,75%,3,4,75%,9,12,75%,0,0,-,0,2,2,3,2,1,0,0,1,1,22,16,14,27%,1.5,111.8,85.4,26.3,153.3,84.3,69.1,0.9,0.9,0%,-,14%,2,43%,1.33,0%,-,29%,2.25,-,14%,14%,0%,18%,21%,0%,0%,18%,1.5,0%,0%,0%,-,7%,10%,0%,-,4%,2%,0%,0%,0%,2.1,2,,,,,,,,,,78.1,111.8,85.4,26.3,62%,17%,18%,2%,44%,24%,16%,4%,72.1,112,82.1,29.9,56%,42%,15%,12%,41%,50%,21%,2%,5.9,-0.2,3.3,-3.5,6%,-25%,3%,-10%,3%,-26%,-5%,2%
BUD,Yogi Ferrell,PG,USA,182,32,4,Buducnost VOLI Podgorica,Trefl Sopot,16/10/2024,H,-,W,22,7,3,6,50%,0,3,0%,3,9,33%,1,2,50%,0,4,4,0,1,0,0,0,3,3,3,-1,11,29%,0.64,104.7,100,4.7,73.7,97,-23.3,0.3,0.4,0%,-,27%,0.67,27%,1.33,0%,-,27%,0,9%,9%,0%,9%,0%,0%,0%,0%,0%,0,0%,0%,0%,0%,21%,33%,11%,0%,11%,0%,0%,0%,0%,6.5,7,,,,,,,,,,79.1,104.7,100,4.7,59%,29%,26%,18%,55%,26%,21%,21%,67.9,151.6,127.6,24,67%,43%,4%,11%,62%,50%,14%,7%,11.1,-47,-27.6,-19.4,-8%,-13%,22%,8%,-7%,-24%,7%,14%
BUD,Yogi Ferrell,PG,USA,182,32,5,Buducnost VOLI Podgorica,Bahcesehir College Istanbul,23/10/2024,H,-,L,29,19,1,3,33%,4,9,44%,5,12,42%,5,5,100%,0,1,1,4,4,0,0,0,3,4,14,-17,18,37%,1.06,107.7,137.7,-30,116.6,129.2,-12.6,0.6,0.7,0%,-,17%,0.67,0%,-,0%,-,50%,1.33,11%,22%,17%,6%,25%,0%,67%,0%,18%,1,0%,0%,0%,-,5%,0%,0%,33%,2%,0%,0%,0%,0%,5.7,7.7,,,,,,,,,,70.5,107.7,137.7,-30,60%,21%,20%,10%,70%,38%,17%,21%,68.5,105.6,111.8,-6.2,45%,46%,9%,9%,50%,33%,7%,14%,2.1,2.1,26,-23.8,14%,-25%,11%,1%,20%,5%,10%,7%
BUD,Yogi Ferrell,PG,USA,182,32,6,Buducnost VOLI Podgorica,Hapoel Shlomo Tel Aviv,30/10/2024,A,-,L,23,11,3,5,60%,1,4,25%,4,9,44%,2,2,100%,0,2,2,4,1,0,0,0,1,4,14,-21,11,29%,1,84.1,126.1,-42,115.4,124.6,-9.2,0.5,0.6,9%,2,27%,1.33,9%,0,0%,-,36%,0.75,9%,9%,0%,9%,33%,43%,0%,50%,27%,4,0%,0%,0%,-,12%,13%,13%,-,5%,0%,0%,0%,0%,2.2,9.1,,,,,,,,,,77.1,84.1,126.1,-42,49%,0%,16%,8%,66%,24%,13%,10%,74.6,109.4,109.7,-0.3,56%,20%,10%,7%,63%,15%,17%,3%,2.5,-25.3,16.4,-41.7,-8%,-20%,6%,1%,3%,8%,-5%,8%
BUD,Yogi Ferrell,PG,USA,182,32,7,Buducnost VOLI Podgorica,ratiopharm Ulm,06/11/2024,H,-,W,27,17,3,3,100%,3,6,50%,6,9,67%,2,2,100%,0,1,1,4,1,1,0,0,4,3,18,10,11,23%,1.55,144.4,125,19.4,161.9,117.8,44.1,0.8,0.9,0%,-,0%,-,27%,2,0%,-,55%,1.5,9%,9%,9%,0%,18%,20%,20%,0%,27%,4,0%,0%,0%,0%,6%,13%,0%,0%,3%,2%,0%,0%,0%,9.1,6.7,,,,,,,,,,67.3,144.4,125,19.4,69%,26%,6%,6%,65%,33%,19%,10%,72.3,121.2,132.4,-11.1,77%,50%,28%,5%,78%,33%,20%,2%,-4.9,23.2,-7.4,30.6,-8%,-24%,-21%,1%,-12%,0%,-1%,7%
BUD,Yogi Ferrell,PG,USA,182,32,8,Buducnost VOLI Podgorica,Joventut Badalona,13/11/2024,A,-,L,23,7,2,5,40%,1,2,50%,3,7,43%,0,0,-,0,5,5,2,0,0,0,1,1,3,11,1,7,15%,1,107.5,110.5,-3,141.6,102.4,39.2,0.5,0.5,0%,-,29%,1,43%,0.67,0%,-,29%,1.5,-,0%,0%,0%,11%,20%,0%,0%,22%,2,0%,0%,0%,0%,25%,22%,33%,0%,11%,0%,0%,0%,0%,2.6,7.5,,,,,,,,,,71,107.5,110.5,-3,47%,44%,11%,11%,55%,30%,15%,13%,73.4,90.6,112.5,-21.9,54%,7%,16%,11%,56%,24%,10%,5%,-2.4,16.9,-2,18.8,-7%,37%,-6%,0%,-1%,6%,5%,8%
BUD,Yogi Ferrell,PG,USA,182,32,9,Buducnost VOLI Podgorica,Wolves Twinsbet Vilnius,29/11/2024,H,-,W,23,5,1,2,50%,1,5,20%,2,7,29%,0,0,-,0,2,2,4,2,1,0,0,0,1,6,9,9,20%,0.56,125,108.5,16.5,108.5,103.4,5.1,0.4,0.4,0%,-,11%,2,11%,0,0%,-,56%,0.6,-,22%,0%,22%,15%,12%,50%,0%,31%,2,0%,0%,0%,0%,11%,0%,18%,0%,6%,2%,0%,0%,0%,0,2.1,,,,,,,,,,83.4,125,108.5,16.5,70%,40%,25%,11%,62%,22%,24%,17%,77.7,133.3,78.8,54.5,65%,35%,10%,4%,43%,12%,13%,9%,5.7,-8.3,29.7,-38.1,5%,5%,15%,7%,19%,10%,11%,8%
BUD,Yogi Ferrell,PG,USA,182,32,10,Buducnost VOLI Podgorica,Besiktas Fibabanka Istanbul,04/12/2024,H,-,L,20,6,1,2,50%,0,1,0%,1,3,33%,4,4,100%,1,2,3,2,0,1,0,0,1,2,11,0,5,16%,1.2,141.2,141.2,0,170.4,124.3,46.1,0.3,0.6,0%,-,40%,1,0%,-,0%,-,20%,0,40%,0%,0%,0%,11%,17%,0%,0%,29%,2,10%,20%,0%,0%,15%,25%,11%,0%,13%,3%,0%,0%,0%,2.9,5.9,,,,,,,,,,66.8,141.2,141.2,0,75%,60%,25%,22%,73%,38%,18%,6%,79.4,102.6,110.5,-8,61%,18%,18%,12%,48%,43%,11%,4%,-12.6,38.6,30.7,8,14%,42%,7%,10%,25%,-4%,7%,2%
