TEAM_ABB,TEAM,GP,W,L,MIN,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,ST,BLK,PF,DF,+/−,POSS,PACE,OFF RTG,DEF RTG,NET RTG,EFG%,TS%,RIM FREQ,RIM PPS,PAINT FREQ,PAINT PPS,MID FREQ,MID PPS,C3 FREQ,C3 PPS,L3 FREQ,L3 PPS,FT FREQ,TOV%,LTOV%,DTOV%,AST%,AST% (2P),AST% (3P),AST% (FT),AST RATIO,ORB%,ORB% (2P),ORB% (3P),ORB% (FT),DRB%,DRB% (2P),DRB% (3P),DRB% (FT),TRB%,ST%,BLK%,BLK% (2P),BLK% (3P),KILLS
TRN,Aquila Trento,18,12,6,201.4,84.7,21.6,41.2,52.30%,8.8,22.9,38.60%,30.4,64.1,47.40%,15.1,20.9,72.10%,10.7,26.8,37.5,17.3,13.8,8.1,3.1,20.8,21.8,5.5,76.3,75.8,111,103.1,7.9,54.30%,57.60%,14.10%,1.47,26.30%,0.91,7.00%,0.72,4.50%,1.31,21.40%,1.13,10.80%,15.90%,7.90%,8.00%,44.40%,42.50%,70.40%,22.10%,19.90%,30.10%,31.10%,32.80%,8.90%,73.40%,72.80%,74.00%,75.00%,52.00%,10.50%,4.80%,6.50%,1.50%,6.4
ARI,Aris BC,18,15,3,201.4,84.8,20.5,37.1,55.20%,7.7,23.7,32.60%,28.2,60.8,46.40%,20.7,28.7,72.10%,14,25.6,39.6,19.5,14.3,6.2,3.4,20.1,26.5,10.1,74,73.5,114.6,100.6,14,52.70%,57.50%,12.90%,1.53,23.70%,0.97,5.60%,0.7,3.70%,1.42,22.80%,0.92,14.70%,16.30%,8.10%,8.10%,48.90%,51.20%,84.20%,20.90%,22.20%,39.10%,40.20%,40.10%,31.50%,67.50%,61.70%,70.40%,87.50%,53.70%,8.30%,5.30%,6.60%,1.90%,5.7
JOV,Badalona,18,11,7,201.4,84.2,20.9,38.9,53.90%,9,25.2,35.80%,29.9,64.1,46.70%,15.3,19.9,76.90%,10.8,23.9,34.7,18.3,10.9,7,1.6,21.7,21.2,4.7,72.6,72.1,116,109.1,6.9,53.80%,57.90%,11.20%,1.61,25.20%,0.98,10.20%,0.73,3.70%,1.29,26.30%,1.05,10.40%,13.10%,6.20%,6.90%,48.00%,45.60%,73.50%,25.70%,21.90%,31.20%,31.80%,30.10%,31.30%,71.20%,73.40%,66.70%,89.70%,50.90%,9.60%,2.60%,3.30%,1.20%,4.6
BAH,Bahçeşehir Koleji SK,18,4,14,201.4,74.7,17.9,35.3,50.80%,8.7,25.9,33.70%,26.7,61.2,43.60%,12.7,16.4,77.30%,10.6,22.3,32.9,16.4,12.4,4.6,1.6,22.6,18.3,-7.3,70.2,69.7,106.5,117.4,-10.9,50.70%,54.60%,11.70%,1.49,24.50%,0.87,7.60%,0.76,5.40%,1.18,26.20%,0.99,8.90%,15.30%,8.20%,7.20%,48.80%,43.70%,77.70%,25.40%,20.30%,30.00%,30.70%,31.00%,6.50%,66.70%,64.90%,70.40%,75.00%,47.90%,6.50%,2.70%,3.40%,0.30%,4.3
LKB,BC Lietkabelis,18,13,5,202.8,87.9,20.9,36.2,57.90%,9.1,24.8,36.70%,30.1,61,49.30%,18.7,24.2,77.50%,9.9,24.7,34.6,19.4,14.8,8.1,2.3,25.6,24.9,5.3,76.3,75.3,115.2,108.5,6.7,56.70%,61.50%,12.90%,1.54,22.00%,1.07,7.00%,0.73,3.80%,1.27,24.70%,1.09,12.20%,17.20%,9.10%,8.10%,48.30%,45.90%,80.50%,23.90%,22.50%,30.00%,30.60%,32.80%,14.30%,69.40%,67.50%,71.90%,67.30%,50.40%,10.60%,3.80%,5.30%,0.70%,5.3
BES,Besiktas JK,18,8,10,201.4,84.4,22.8,39.1,58.50%,6.2,19.4,32.00%,29.1,58.5,49.70%,20.1,25.9,77.70%,9.5,24.8,34.3,18.2,16.2,6.5,2.2,22.1,24.7,-0.8,76.1,75.6,110.9,112.8,-1.9,55.00%,60.70%,12.50%,1.61,27.20%,1.05,5.90%,0.81,3.40%,1.08,18.90%,0.95,13.00%,18.90%,9.30%,9.50%,45.90%,47.70%,75.90%,24.40%,21.30%,30.60%,34.40%,25.90%,16.70%,69.00%,68.10%,67.30%,85.10%,51.20%,8.60%,3.40%,3.90%,0.80%,4.8
CAN,Gran Canaria,18,6,12,202.8,75.8,19.4,37,52.60%,7.9,25.3,31.10%,27.3,62.3,43.90%,13.3,18.3,72.60%,11.3,23.8,35.2,16.1,13.9,7.9,1.9,20.4,19.4,-3.5,72.8,71.8,104.2,109.2,-5,50.20%,54.00%,9.30%,1.49,27.80%,0.95,6.90%,0.87,5.70%,1.1,24.40%,0.89,9.40%,16.60%,8.50%,8.10%,46.60%,43.40%,78.20%,20.30%,19.10%,30.80%,36.10%,27.50%,18.60%,70.00%,65.80%,72.40%,85.70%,49.60%,10.90%,3.10%,4.90%,0.20%,4.8
CLU,Cluj-Napoca,18,8,10,200,87,20.6,37.1,55.50%,9.5,27.7,34.30%,30.1,64.8,46.40%,17.3,21.9,78.70%,11.5,22.2,33.7,17.9,14.6,9.6,3.1,22.4,22.1,-2,77.2,77.2,112.7,115.7,-3,53.80%,58.60%,11.90%,1.45,23.90%,1.01,6.10%,0.85,2.70%,1.12,28.30%,1.03,10.60%,16.50%,7.60%,8.80%,45.90%,43.70%,75.40%,19.90%,20.20%,31.40%,33.10%,30.00%,26.10%,66.90%,62.80%,67.90%,88.00%,48.30%,12.50%,4.80%,7.20%,0.70%,5
HAM,Hamburg Towers,18,12,6,201.4,87,20.7,39,53.10%,9.2,25.4,36.00%,29.9,64.4,46.40%,18.1,24.2,74.50%,13,26,39,18.9,15.5,9.4,3.9,20.6,24.6,8.9,77.1,76.6,112.8,101.1,11.7,53.50%,58.10%,14.20%,1.53,21.90%,0.86,7.10%,0.75,4.80%,1.31,23.20%,1.04,11.60%,17.20%,9.10%,8.10%,47.00%,47.70%,72.70%,21.50%,21.00%,35.60%,38.00%,35.30%,19.20%,66.70%,63.70%,67.80%,79.20%,51.60%,12.20%,6.00%,9.10%,1.50%,5.9
JER,Hapoel Jerusalem BC,18,7,11,198.5,77.7,19.4,37,52.40%,7.9,26.8,29.70%,27.3,63.8,42.90%,15.1,19.4,77.70%,11.8,25.7,37.4,15.8,16,7.3,2.4,24.4,21.4,-6.2,75.7,76.3,102.6,110.6,-8,49.10%,54.10%,11.70%,1.45,22.90%,0.98,7.70%,0.64,2.30%,1.17,28.10%,0.88,9.20%,18.30%,9.80%,8.40%,45.30%,40.40%,77.60%,24.10%,18.10%,31.50%,33.10%,30.40%,28.90%,67.20%,62.20%,69.10%,84.30%,49.60%,9.70%,3.80%,5.20%,1.20%,5
