TEAM_ABB,TEAM,GP,W,L,MIN,PTS,2PM,2PA,2P%,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,ST,BLK,PF,DF,+/−,POSS,PACE,OFF RTG,DEF RTG,NET RTG,EFG%,TS%,RIM FREQ,RIM PPS,PAINT FREQ,PAINT PPS,MID FREQ,MID PPS,C3 FREQ,C3 PPS,L3 FREQ,L3 PPS,FT FREQ,TOV%,LTOV%,DTOV%,AST%,AST% (2P),AST% (3P),AST% (FT),AST RATIO,ORB%,ORB% (2P),ORB% (3P),ORB% (FT),DRB%,DRB% (2P),DRB% (3P),DRB% (FT),TRB%,ST%,BLK%,BLK% (2P),BLK% (3P),KILLS
TRN,Aquila Trento,18,6,12,201.4,79.2,21,38.4,54.70%,7.9,25.6,31.00%,28.9,64,45.20%,13.4,18,74.40%,9.7,24.9,34.6,16.2,15.2,6.9,2.5,21.9,20.6,-5.5,76.8,76.3,103.1,111,-7.9,51.40%,55.40%,13.00%,1.34,25.40%,1.04,6.00%,0.82,6.40%,0.81,23.00%,0.97,8.60%,17.50%,9.20%,8.30%,45.60%,39.20%,81.10%,23.50%,18.70%,26.60%,27.20%,26.00%,25.00%,69.90%,68.90%,67.20%,91.10%,48.00%,9.00%,3.90%,5.00%,1.20%,4.8
ARI,Aris BC,18,3,15,201.4,74.7,19.2,36.8,52.00%,8,26.7,30.00%,27.2,63.5,42.80%,12.4,17.5,70.80%,12.3,21.8,34.2,13.6,15.7,7.2,2.7,26.7,20,-10.1,74.3,73.8,100.6,114.6,-14,49.10%,52.50%,10.40%,1.43,23.80%,0.95,8.30%,0.8,3.10%,1.35,27.30%,0.86,8.90%,18.10%,7.10%,11.00%,39.60%,35.90%,70.80%,14.20%,15.70%,32.50%,38.30%,29.60%,12.50%,60.90%,59.80%,59.90%,68.50%,46.30%,9.70%,4.40%,6.40%,0.50%,4.1
JOV,Badalona,18,7,11,201.4,79.5,20.9,37,56.60%,8.1,24.1,33.40%,29,61.1,47.50%,13.4,18.3,73.30%,9.7,23.8,33.4,18.8,13.6,5.2,2.6,21.5,21.5,-4.7,72.9,72.4,109.1,116,-6.9,54.00%,57.50%,11.40%,1.65,27.20%,1,6.20%,0.74,4.00%,0.97,24.90%,1.01,9.70%,16.50%,8.30%,8.10%,51.80%,54.10%,76.60%,18.20%,22.80%,28.80%,26.60%,33.30%,10.30%,68.80%,68.20%,69.90%,68.80%,49.10%,7.10%,4.10%,5.60%,1.10%,4.5
BAH,Bahçeşehir Koleji SK,18,14,4,201.4,82,20.2,38.1,53.10%,8.1,22.2,36.50%,28.3,60.3,47.00%,17.2,22.8,75.60%,11.2,24.7,35.8,18.2,10.9,6.6,2.5,18.5,22.3,7.3,69.8,69.4,117.4,106.5,10.9,53.70%,58.40%,12.60%,1.54,26.30%,0.92,8.00%,0.77,4.10%,1.05,23.10%,1.11,12.30%,13.50%,5.60%,7.90%,48.40%,46.20%,76.70%,28.50%,22.40%,33.30%,35.10%,29.60%,25.00%,70.00%,69.30%,69.00%,93.50%,52.10%,9.40%,4.10%,3.90%,0.90%,4.8
LKB,BC Lietkabelis,18,5,13,201.3,82.6,20.8,37.8,55.10%,7.4,24.2,30.70%,28.3,62.1,45.60%,18.6,24.5,76.00%,10.9,23.1,33.9,18.4,14.4,7.8,2.4,25,25.2,-5.3,76.2,75.7,108.5,115.2,-6.7,51.60%,56.80%,13.00%,1.52,22.80%,1,7.70%,0.68,2.60%,1.32,24.80%,0.9,12.30%,16.60%,9.20%,7.40%,48.20%,49.10%,76.10%,25.60%,21.20%,30.60%,32.60%,28.10%,32.70%,70.00%,69.40%,67.20%,85.70%,49.60%,10.30%,4.00%,6.00%,1.10%,4.4
BES,Besiktas JK,18,10,8,201.4,85.2,19.9,37.3,53.50%,9.9,26.7,37.20%,29.9,64,46.70%,15.5,21.2,73.00%,11.2,21.5,32.7,17.4,13.1,8.1,1.7,25.1,22,0.8,75.6,75,112.8,110.9,1.9,54.50%,57.80%,10.90%,1.59,20.80%,0.91,11.30%,0.87,6.40%,1.2,24.10%,1.11,11.10%,15.10%,7.50%,7.60%,45.40%,41.20%,73.70%,22.10%,20.10%,31.00%,31.90%,32.70%,14.90%,69.40%,65.60%,74.10%,83.30%,48.80%,10.60%,2.90%,2.80%,0.30%,4.4
CAN,Gran Canaria,18,12,6,202.8,79.3,19.9,35.3,56.40%,8.8,26.3,33.30%,28.7,61.7,46.60%,13.1,16.6,79.20%,10.2,25.5,35.7,18.1,14.2,7.2,2.3,19.6,20.3,3.5,72.7,71.7,109.2,104.2,5,53.70%,57.70%,9.20%,1.62,26.80%,1.07,6.60%,0.67,5.20%,1.13,26.50%,0.98,8.60%,17.20%,9.60%,7.60%,50.90%,49.30%,76.60%,22.60%,21.90%,30.00%,34.20%,27.60%,14.30%,69.20%,63.90%,72.50%,81.40%,50.40%,9.90%,3.70%,5.30%,1.10%,5.9
CLU,Cluj-Napoca,18,10,8,200,89,23.1,38.3,60.30%,8.9,25.2,35.50%,32.1,63.5,50.50%,15.9,20.9,76.30%,11,25.1,36.1,20.1,15.9,6.8,2.8,22.4,22.3,2,76.9,76.9,115.7,112.7,3,57.50%,61.70%,15.60%,1.57,22.90%,1.02,5.10%,0.93,2.20%,1.03,26.20%,1.08,9.80%,18.10%,10.90%,7.10%,49.90%,46.60%,80.70%,24.60%,22.80%,33.10%,37.20%,32.10%,12.00%,68.60%,66.90%,70.00%,73.90%,51.70%,8.80%,4.40%,6.40%,1.60%,5.2
HAM,Hamburg Towers,18,6,12,201.4,78.1,19.4,36.2,53.60%,8.9,29.4,30.40%,28.3,65.6,43.20%,12.5,17.1,73.30%,13,23.6,36.6,17.2,17.7,8.3,3.2,24.7,20.3,-8.9,77.3,76.7,101.1,112.8,-11.7,50.00%,53.70%,14.30%,1.34,20.00%,0.98,5.70%,0.71,4.30%,1.29,28.10%,0.86,8.00%,19.60%,10.50%,9.10%,49.00%,46.40%,75.20%,21.00%,19.00%,33.30%,36.30%,32.20%,20.80%,64.40%,62.00%,64.70%,80.80%,48.40%,10.70%,4.90%,7.70%,0.70%,4.6
JER,Hapoel Jerusalem BC,18,11,7,200,83.9,19.4,38.2,50.80%,8,23.9,33.40%,27.4,62.1,44.10%,21.1,28.9,72.90%,12.5,25.6,38.1,16.3,13.8,8.6,2.4,21.7,24,6.2,75.8,75.8,110.6,102.6,8,50.50%,56.20%,11.20%,1.49,27.50%,0.87,4.50%,0.72,2.90%,1.17,24.00%,0.99,14.20%,15.70%,8.30%,7.40%,42.00%,43.00%,75.70%,16.60%,18.50%,32.80%,37.80%,30.90%,15.70%,68.50%,66.90%,69.60%,71.10%,50.40%,11.40%,3.80%,5.90%,0.40%,6.4
